form_main_source;form_main_rain;form_main_wind_direction;form_main_wind_force;form_main_cloud_level;form_main_threats;form_birds_name;form_birds_count_units;form_birds_count_type;form_birds_nesting;form_birds_sex;form_birds_age;form_birds_marking;form_birds_status;form_birds_behaviour;form_birds_death;form_birds_nest_substrate;form_birds_nest_location;form_birds_nest_height;form_birds_nest_position;form_birds_age_individual;form_birds_nest_success;form_herp_name;form_herp_gender;form_herp_age;form_herp_habitat;form_herp_danger_observation;form_cbm_distance;form_cbm_visit_number;form_cbm_sector;form_cbm_habitat;form_ciconia_substratum;form_ciconia_column;form_ciconia_column_type;form_ciconia_tree;form_ciconia_building;form_ciconia_not_occupied;form_ciconia_new_birds
;;;;;;Calidris mauri | Западен брегобегач;;;;;;;;;;;;;;;;Mustela eversmani | Степен пор;;;;;;;;;;;;;;;
;;;;;;Calidris melanotos | Цветногръд брегобегач;;;;;;;;;;;;;;;;Vormela peregusna | Пъстър пор;;;;;;;;;;;;;;;
;;;;;;Calidris minuta | Малък брегобегач;;;;;;;;;;;;;;;;Meles meles | Язовец;;;;;;;;;;;;;;;
;;;;;;Calidris pusilla | Ципестопръст брегобегач;;;;;;;;;;;;;;;;Lutra lutra | Видра;;;;;;;;;;;;;;;
;;;;;;Calidris temminckii | Сив брегобегач;;;;;;;;;;;;;;;;Felis silvestris | Дива котка;;;;;;;;;;;;;;;
;;;;;;Calonectris diomedea | Жълтоклюн буревестник;;;;;;;;;;;;;;;;Lynx lynx | Рис;;;;;;;;;;;;;;;
;;;;;;Caprimulgus europaeus | Козодой;;;;;;;;;;;;;;;;Delphinus delphis | Обикновен делфин;;;;;;;;;;;;;;;
;;;;;;Caprimulgus ruficollis;;;;;;;;;;;;;;;;Tursiops truncatus | Афала;;;;;;;;;;;;;;;
;;;;;;Carduelis cannabina | Обикновено конопарче;;;;;;;;;;;;;;;;Phocoena phocoena | Морска свиня (Муткур);;;;;;;;;;;;;;;
;;;;;;Carduelis carduelis | Щиглец;;;;;;;;;;;;;;;;Sus scrofa | Дива свиня;;;;;;;;;;;;;;;
;;;;;;Carduelis chloris | Зеленика;;;;;;;;;;;;;;;;Cervus elaphus | Благороден елен;;;;;;;;;;;;;;;
;;;;;;Carduelis flammea | Брезова скатия;;;;;;;;;;;;;;;;Dama dama | Елен лопатар;;;;;;;;;;;;;;;
;;;;;;Carduelis flavirostris | Жълтоклюно конопарче;;;;;;;;;;;;;;;;Capreolus capreolus | Сърна;;;;;;;;;;;;;;;
;;;;;;Carduelis hornemanni | Полярна скатия;;;;;;;;;;;;;;;;Rupicapra rupicapra | Дива коза;;;;;;;;;;;;;;;
;;;;;;Carduelis spinus | Елшова скатия;;;;;;;;;;;;;;;;Ovis gmelinii | Муфлон;;;;;;;;;;;;;;;
;;;;;;Carpodacus erythrinus | Червена чинка;;;;;;;;;;;;;;;;Rhinolophus ferrumequinum | Голям подковонос;;;;;;;;;;;;;;;
;;;;;;Carpodacus rubicilla;;;;;;;;;;;;;;;;Rhinolophus hipposideros | Малък подковонос;;;;;;;;;;;;;;;
;;;;;;Carpospiza brachydactyla;;;;;;;;;;;;;;;;Rhinolophus blasii | Подковонос на Блази;;;;;;;;;;;;;;;
;;;;;;Cepphus grylle | Обикновен чистик;;;;;;;;;;;;;;;;Rhinolophus euryale | Южен подковонос;;;;;;;;;;;;;;;
;;;;;;Cercotrichas galactotes | Трънковче;;;;;;;;;;;;;;;;Rhinolophus mehelyi | Подковонос на Мехели;;;;;;;;;;;;;;;
;;;;;;Certhia brachydactyla | Градинска дърволазка;;;;;;;;;;;;;;;;Myotis myotis | Голям нощник;;;;;;;;;;;;;;;
;;;;;;Certhia familiaris | Горска дърволазка;;;;;;;;;;;;;;;;Myotis blythii | Остроух нощник;;;;;;;;;;;;;;;
;;;;;;Ceryle rudis;;;;;;;;;;;;;;;;Myotis bechsteinii | Нощник на Бехщайн;;;;;;;;;;;;;;;
;;;;;;Cettia cetti | Свилено шаварче;;;;;;;;;;;;;;;;Myotis natteri | Нощник на Натерер;;;;;;;;;;;;;;;
;;;;;;Charadrius alexandrinus | Морски дъждосвирец;;;;;;;;;;;;;;;;Myotis emarginatus | Трицветен нощник;;;;;;;;;;;;;;;
;;;;;;Charadrius asiaticus | Каспийски дъждосвирец;;;;;;;;;;;;;;;;Myotis mystacinus | Мустакат нощник;;;;;;;;;;;;;;;
;;;;;;Charadrius dubius | Речен дъждосвирец;;;;;;;;;;;;;;;;Myotis aurascens | Южен мустакат нощник;;;;;;;;;;;;;;;
;;;;;;Charadrius hiaticula | Пясъчен дъждосвирец;;;;;;;;;;;;;;;;Myotis brandtii | Нощник на Брандт;;;;;;;;;;;;;;;
;;;;;;Charadrius leschenaultii | Дебелоклюн дъждосвирец;;;;;;;;;;;;;;;;Myotis daubentonii | Воден нощник;;;;;;;;;;;;;;;
;;;;;;Charadrius morinellus | Планински дъждосвирец;;;;;;;;;;;;;;;;Myotis capaccinii | Дългопръст нощник;;;;;;;;;;;;;;;
;;;;;;Chersophilus duponti | Кривоклюна чучулига;;;;;;;;;;;;;;;;Myotis dasycneme | Езерен нощник;;;;;;;;;;;;;;;
;;;;;;Chettusia gregaria | Степна калугерица;;;;;;;;;;;;;;;;Myotis alcathoe | Алкатоев нощник;;;;;;;;;;;;;;;
;;;;;;Chettusia leucura | Белоопашата калугерица;;;;;;;;;;;;;;;;Plecotus austriacus | Сив дългоух прилеп;;;;;;;;;;;;;;;
;;;;;;Chlamydotis undulata;;;;;;;;;;;;;;;;Plecotus auritus | Кафяв дългоух прилеп;;;;;;;;;;;;;;;
;;;;;;Chlidonias hybridus | Белобуза рибарка;;;;;;;;;;;;;;;;Barabastella barabastellus | Широкоух прилеп;;;;;;;;;;;;;;;
;;;;;;Chlidonias leucopterus | Белокрила рибарка;;;;;;;;;;;;;;;;Nyctalus noctula | Ръждив вечерник;;;;;;;;;;;;;;;
;;;;;;Chlidonias niger | Черна рибарка;;;;;;;;;;;;;;;;Nyctalus lasiopterus | Голям вечерник;;;;;;;;;;;;;;;
;;;;;;Chrysolophus pictus;;;;;;;;;;;;;;;;Nyctalus leisleri | Малък вечерник;;;;;;;;;;;;;;;
;;;;;;Ciconia ciconia | Бял щъркел;;;;;;;;;;;;;;;;Pipistrellus pipistrellus | Кафяво прилепче;;;;;;;;;;;;;;;
;;;;;;Ciconia nigra | Черен щъркел;;;;;;;;;;;;;;;;Pipistrellus pygmaeus;;;;;;;;;;;;;;;
;;;;;;Cinclus cinclus | Воден кос;;;;;;;;;;;;;;;;Pipistrellus nathusii | Прилепче на Натузий;;;;;;;;;;;;;;;
;;;;;;Circaetus gallicus | Орел змияр;;;;;;;;;;;;;;;;Pipistrellus kuhlii | Средиземноморско прилепче;;;;;;;;;;;;;;;
;;;;;;Circus aeruginosus | Тръстиков блатар;;;;;;;;;;;;;;;;Hypsugo savii | Прилепче на Сави;;;;;;;;;;;;;;;
;;;;;;Circus cyaneus | Полски блатар;;;;;;;;;;;;;;;;Eptisicus serotinus | Полунощен прилеп;;;;;;;;;;;;;;;
;;;;;;Circus macrourus | Степен блатар;;;;;;;;;;;;;;;;Eptisicus nilssonii | Северен прилеп;;;;;;;;;;;;;;;
;;;;;;Circus pygargus | Ливаден блатар;;;;;;;;;;;;;;;;Vesperilio murinus | Двуцветен прилеп;;;;;;;;;;;;;;;
;;;;;;Cisticola juncidis | Пъстроопашато шаварче;;;;;;;;;;;;;;;;Miniopterus schrebersii | Пещерен дългокрил;;;;;;;;;;;;;;;
;;;;;;Clamator glandarius | Качулата кукувица;;;;;;;;;;;;;;;;Tadarida teniotis | Булдогов прилеп;;;;;;;;;;;;;;;
;;;;;;Clangula hyemalis | Ледена потапница;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Coccothraustes coccothraustes | Черешарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Coccyzus americanus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Columba bollii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Columba junoniae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Columba livia | Полудив гълъб;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Columba oenas | Гълъб хралупар;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Columba palumbus | Гривяк;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Columba trocaz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Coracias garrulus | Синявица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Corvus corax | Гарван гробар;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Corvus corone | Сива врана;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Corvus frugilegus | Посевна врана;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Corvus monedula | Чавка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Coturnix coturnix | Пъдпъдък;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Crex crex | Ливаден дърдавец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cuculus canorus | Обикновена кукувица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cuculus saturatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cursorius cursor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cyanopica cyana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cygnus bewickii | Тундров лебед;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cygnus cygnus | Поен лебед;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cygnus olor | Ням лебед;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Delichon urbica | Градска лястовица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Dendrocopos leucotos | Белогърб кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Dendrocopos major | Голям пъстър кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Dendrocopos medius | Среден пъстър кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Dendrocopos minor | Малък пъстър кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Dendrocopos syriacus | Сирийски пъстър кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Dryocopus martius | Черен кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Egretta alba | Голяма бяла чапла;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Egretta garzetta | Малка бяла чапла;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Egretta gularis | Рифова чапла;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Elanus caeruleus | Пепелява каничка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza aureola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza bruniceps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza buchanani;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza caesia | Пепелява овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza cia | Сивоглава овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza cineracea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza cirlus | Зеленогуша овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza citrinella | Жълта овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza hortulana | Градинска овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza leucocephalos | Пепелява овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza melanocephala | Черноглава овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza pusilla | Малка овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza rustica | Белогуша овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza schoeniclus | Тръстикова овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Eremophila alpestris | Ушата чучулига;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Erithacus rubecula | Червеногръдка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Estrilda astrild;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco biarmicus | Далматински сокол;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco cherrug | Ловен сокол;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco columbarius | Малък сокол;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco eleonorae | Средиземноморски сокол;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco naumanni | Белошипа ветрушка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco pelegrinoides | Ръждивоглав сокол;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco peregrinus | Сокол скитник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco rusticolus | Северен сокол;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco subbuteo | Орко;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco tinnunculus | Черношипа ветрушка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco vespertinus | Вечерна ветрушка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ficedula albicollis | Беловрата мухоловка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ficedula hypoleuca | Жалобна мухоловка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ficedula parva | Червеногуша мухоловка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ficedula semitorquata | Полубеловрата мухоловка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Francolinus francolinus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fratercula arctica | Тъпоклюна кайра;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fringilla coelebs | Обикновена чинка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fringilla montifringilla | Планинска чинка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fringilla teydea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fulica atra | Лиска;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fulica cristata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fulmarus glacialis | Фулмар;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Galerida cristata | Качулата чучулига;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Galerida malabarica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Galerida theklae | Текла;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gallinago gallinago | Средна бекасина;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gallinago media | Голяма бекасина;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gallinago stenura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gallinula chloropus | Зеленоножка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Garrulus glandarius | Сойка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gavia adamsii | Жълтоклюн гмуркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gavia arctica | Черногуш гмуркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gavia immer | Черноклюн гмуркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gavia stellata | Червеногуш гмуркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gelochelidon nilotica | Дебелоклюна рибарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Geronticus eremita | Плешив ибис;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Glareola nordmanni | Чернокрил огърличник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Glareola pratincola | Кафявокрил огърличник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Glaucidium passerinum | Врабчова кукумявка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Grus grus | Сив жерав;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gypaetus barbatus | Брадат лешояд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gyps fulvus | Белоглав лешояд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Haematopus moquini;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Haematopus ostralegus | Стридояд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Halcyon smyrnensis | Белогърдо земеродно рибарче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Haliaeetus albicilla | Морски орел;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hieraaetus fasciatus | Ястребов орел;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hieraaetus pennatus | Малък орел;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Himantopus himantopus | Кокилобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Iduna caligata | Малък присмехулник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hippolais icterina | Градински присмехулник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hippolais languida | Пустинен присмехулник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hippolais olivetorum | Голям маслинов присмехулник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hippolais pallida | Малък маслинов присмехулник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hippolais polyglotta | Бъбрив присмехулник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hirundo daurica | Червенокръста лястовица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hirundo rustica | Селска лястовица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Histrionicus histrionicus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hoplopterus indicus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hoplopterus spinosus | Шипокрила калугерица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hydrobates pelagicus | Европейска вълнолюбка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Irania gutturalis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ixobrychus minutus | Малък воден бик;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Jynx torquilla | Въртошийка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ketupa zeylonensis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lagopus lagopus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lagopus mutus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lanius collurio | Червеногърба сврачка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lanius excubitor | Сива сврачка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lanius minor | Черночела сврачка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lanius nubicus | Белочела сврачка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lanius senator | Червеноглава сврачка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus argentatus | Сребриста чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus armenicus | Арменска чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus audouinii | Средиземноморската чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus michahellis | Жълтокрака чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus canus | Чайка буревестница;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus delawarensis | Пръстенчатоклюна чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus fuscus | Малката черногърба чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus genei | Дългоклюна чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus glaucoides | Малка белокрила чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus hyperboreus | Голяма белокрила чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus ichthyaetus | Голяма черноглава чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus marinus | Голяма черногърба чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus melanocephalus | Малката черноглава чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus minutus | Малка чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus relictus | Реликтна чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus ridibundus | Речна чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus sabini | Вилоопашата чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Limicola falcinellus | Блатобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Limnodromus scolopaceus | Берингов вретенач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Limosa lapponica | Пъстроопашат крайбрежен бекас;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Limosa limosa | Черноопашат крайбрежен бекас;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Locustella fluviatilis | Речен цвъркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Locustella lanceolata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Locustella luscinioides | Тръстиков цвъркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Locustella naevia | Полски цвъркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Loxia curvirostra | Обикновена кръсточовка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Loxia leucoptera | Белокрила кръсточовка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Loxia pytyopsittacus | Дебелоклюна кръсточовка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Loxia scotica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lullula arborea | Горска чучулига;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Luscinia calliope;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Luscinia luscinia | Северен славей;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Luscinia megarhynchos | Южен славей;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Luscinia svecica | Синьогушка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lymnocryptes minimus | Малка бикасина;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Marmaronetta angustirostris | Мраморна патица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Melanitta fusca | Кадифена потапница;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Melanitta nigra | Траурна потапница;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Melanocorypha bimaculata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Melanocorypha calandra | Дебелоклюна чучулига;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Melanocorypha leucoptera | Белокрила чучулига;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Melanocorypha yeltoniensis | Черна чучулига;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Meleagris gallopavo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Mergus albellus | Малък нирец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Mergus cucullatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Mergus merganser | Голям нирец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Mergus serrator | Среден нирец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Merops apiaster | Обикновен пчелояд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Merops superciliosus | Зелен пчелояд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Miliaria calandra | Сива овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Milvus migrans | Черна каня;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Milvus milvus | Червена каня;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Monticola saxatilis | Пъстър скален дрозд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Monticola solitarius | Син скален дрозд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Montifringilla nivalis | Снежно врабче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Morus bassanus | Бял рибояд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Motacilla alba | Бяла стърчиопашка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Motacilla cinerea | Планинска стърчиопашка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Motacilla citreola | Жълтоглава стърчиопашка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Motacilla finere;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Motacilla flava | Жълта стърчиопашка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Muscicapa daurrica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
