form_main_source;form_main_rain;form_main_wind_direction;form_main_wind_force;form_main_cloud_level;form_main_threats;form_birds_name;form_birds_count_units;form_birds_count_type;form_birds_nesting;form_birds_sex;form_birds_age;form_birds_marking;form_birds_status;form_birds_behaviour;form_birds_death;form_birds_nest_substrate;form_birds_nest_location;form_birds_nest_height;form_birds_nest_position;form_birds_age_individual;form_birds_nest_success;form_herp_name;form_herp_gender;form_herp_age;form_herp_habitat;form_herp_danger_observation;form_cbm_distance;form_cbm_visit_number;form_cbm_sector;form_cbm_habitat;form_ciconia_substratum;form_ciconia_column;form_ciconia_column_type;form_ciconia_tree;form_ciconia_building;form_ciconia_not_occupied;form_ciconia_new_birds
;;;;;;Anthus trivialis | Горска бъбрица;;;;;;;;;;;;;;;;Zamenis situla | Леопардов смок;;;;;;;;;;;;;;;
;;;;;;Apus affinis | Малък бързолет;;;;;;;;;;;;;;;;Zootoca vivipara | Живороден гущер;;;;;;;;;;;;;;;
;;;;;;Apus apus | Черен бързолет;;;;;;;;;;;;;;;;Erinaceus roumanicus | Белогръд таралеж;;;;;;;;;;;;;;;
;;;;;;Apus caffer | Белокръст бързолет;;;;;;;;;;;;;;;;Talpa europea | Къртица;;;;;;;;;;;;;;;
;;;;;;Apus melba | Алпийски бързолет;;;;;;;;;;;;;;;;Talpa levantis | Черноморска къртица;;;;;;;;;;;;;;;
;;;;;;Apus pallidus | Блед бързолет;;;;;;;;;;;;;;;;Sorex araneus | Обикновена кафявозъбка;;;;;;;;;;;;;;;
;;;;;;Apus unicolor | Едноцветен бързолет;;;;;;;;;;;;;;;;Sorex minutus | Малка кафявозъбка;;;;;;;;;;;;;;;
;;;;;;Aquila adalberti | Испански орел;;;;;;;;;;;;;;;;Neomys anomalus | Малка водна земеровка;;;;;;;;;;;;;;;
;;;;;;Aquila chrysaetos | Скален орел;;;;;;;;;;;;;;;;Neomys fodiens | Голяма водна земеровка;;;;;;;;;;;;;;;
;;;;;;Aquila clanga | Голям креслив орел;;;;;;;;;;;;;;;;Crocidura leucodon | Голяма (белокоремна) белозъбка;;;;;;;;;;;;;;;
;;;;;;Aquila heliaca | Царски орел;;;;;;;;;;;;;;;;Crocidura suaveolens | Малка белозъбка;;;;;;;;;;;;;;;
;;;;;;Aquila nipalensis | Степен орел;;;;;;;;;;;;;;;;Suncus etruscus | Етруска земеровка;;;;;;;;;;;;;;;
;;;;;;Aquila pomarina | Малък креслив орел;;;;;;;;;;;;;;;;Lepus europeus | Див заек;;;;;;;;;;;;;;;
;;;;;;Aquila rapax | Африкански степен орел;;;;;;;;;;;;;;;;Oryctolagus cuniculus | Заек подземник;;;;;;;;;;;;;;;
;;;;;;Ardea cinerea | Сива чапла;;;;;;;;;;;;;;;;Sciurus vulgaris | Катерица;;;;;;;;;;;;;;;
;;;;;;Ardea purpurea | Ръждива чапла;;;;;;;;;;;;;;;;Spermophilus citellus | Лалугер;;;;;;;;;;;;;;;
;;;;;;Ardeola ralloides | Гривеста чапла;;;;;;;;;;;;;;;;Dryomys nitedula | Горски сънливец;;;;;;;;;;;;;;;
;;;;;;Arenaria interpres | Камъкообръщач;;;;;;;;;;;;;;;;Glis glis | Обикновен (голям) сънливец;;;;;;;;;;;;;;;
;;;;;;Asio flammeus | Блатна сова;;;;;;;;;;;;;;;;Muscardinus avellanarius | Лешников сънливец;;;;;;;;;;;;;;;
;;;;;;Asio otus | Горска ушата сова;;;;;;;;;;;;;;;;Myomimus roachi | Мишевиден сънливец;;;;;;;;;;;;;;;
;;;;;;Athene noctua | Домашна кукумявка;;;;;;;;;;;;;;;;Micromys minutus | Оризищна мишка;;;;;;;;;;;;;;;
;;;;;;Aythya collaris | Пръстенчатоклюна потапница;;;;;;;;;;;;;;;;Sylvaemus epimelas | Скална мишка;;;;;;;;;;;;;;;
;;;;;;Aythya ferina | Кафявоглава потапница;;;;;;;;;;;;;;;;Sylvaemus flavicollis | Жълтогърла горска мишка;;;;;;;;;;;;;;;
;;;;;;Aythya fuligula | Качулата потапница;;;;;;;;;;;;;;;;Sylvaemus sylvaticus | Обикновена горска мишка;;;;;;;;;;;;;;;
;;;;;;Aythya marila | Планинска потапница;;;;;;;;;;;;;;;;Sylvaemus uralensis | Малка горска мишка;;;;;;;;;;;;;;;
;;;;;;Aythya nyroca | Белоока потапница;;;;;;;;;;;;;;;;Apodemus agrarius | Полска мишка;;;;;;;;;;;;;;;
;;;;;;Bombycilla garrulus | Копринарка;;;;;;;;;;;;;;;;Rattus rattus | Черен плъх;;;;;;;;;;;;;;;
;;;;;;Bonasa bonasia | Лещарка;;;;;;;;;;;;;;;;Rattus norvegicus | Сив плъх;;;;;;;;;;;;;;;
;;;;;;Botaurus lentiginosus;;;;;;;;;;;;;;;;Mus musculus musculus | Домашна мишка;;;;;;;;;;;;;;;
;;;;;;Botaurus stellaris | Голям воден бик;;;;;;;;;;;;;;;;Mus musculus domesticus | Домашна мишка;;;;;;;;;;;;;;;
;;;;;;Branta bernicla | Черна гъска;;;;;;;;;;;;;;;;Mus spicilegus | Степна домашна мишка;;;;;;;;;;;;;;;
;;;;;;Branta canadensis | Канадска гъска;;;;;;;;;;;;;;;;Mus macedonicus | Източносредиземноморска домашна мишка;;;;;;;;;;;;;;;
;;;;;;Branta leucopsis | Белобуза гъска;;;;;;;;;;;;;;;;Cricetus cricetus | Голям хомяк;;;;;;;;;;;;;;;
;;;;;;Branta ruficollis | Червеногуша гъска;;;;;;;;;;;;;;;;Mesocricetus newtoni | Добръджански хомяк;;;;;;;;;;;;;;;
;;;;;;Bubo bubo | Бухал;;;;;;;;;;;;;;;;Cricetulus migratоrius | Сиво хомяче;;;;;;;;;;;;;;;
;;;;;;Bubulcus ibis | Биволска чапла;;;;;;;;;;;;;;;;Ondatra zibethicus | Ондатра;;;;;;;;;;;;;;;
;;;;;;Bucanetes githagineus;;;;;;;;;;;;;;;;Clethrionomys glareolus | Ръждива горска полевка;;;;;;;;;;;;;;;
;;;;;;Bucanetes mongolicus;;;;;;;;;;;;;;;;Arvicola terrestris | Водна полевка (плъх);;;;;;;;;;;;;;;
;;;;;;Bucephala clangula | Звънарка;;;;;;;;;;;;;;;;Microtus arvalis | Обикновена полевка;;;;;;;;;;;;;;;
;;;;;;Bucephala islandica;;;;;;;;;;;;;;;;Microtus levis | Източноевропейска полевка;;;;;;;;;;;;;;;
;;;;;;Bulweria bulwerii;;;;;;;;;;;;;;;;Microtus hartingi | Полевка на Хартинг;;;;;;;;;;;;;;;
;;;;;;Burhinus oedicnemus | Турилик;;;;;;;;;;;;;;;;Microtus subterraneus | Подземна полевка;;;;;;;;;;;;;;;
